Id,Region,Product,Year,Sales,Profit,Quantity
1,South,Laptop,2022,15494.62,3465.33,53
2,Southeast,Keyboard,2024,3607.29,574.89,109
3,Southeast,GPU,2020,10483.45,2253.82,89
4,Southwest,Camera,2023,21475.96,5088.3,40
5,Southwest,Speaker,2022,1965.22,444.83,33
6,South,Router,2020,4547.74,956.72,25
7,Northwest,RAM,2020,3376.92,605.54,100
8,Northeast,CPU,2021,11937.86,2580.09,57
9,South,Camera,2020,17165.11,3665.93,66
10,East,Webcam,2022,2990.46,658.45,29
11,East,RAM,2021,2428.43,429.82,91
12,West,Speaker,2020,3009.85,693.78,71
13,Central,Keyboard,2021,7200.19,1306.6,177
14,Southwest,Modem,2021,2667.95,598.95,88
15,Central,CPU,2023,14819.29,2547.91,37
16,Southeast,HardDrive,2020,3990.97,659.64,40
17,Southwest,GPU,2020,8508.38,2123.79,87
18,Central,RAM,2020,8176.52,1783.88,88
19,Central,Speaker,2020,4040.39,789.38,53
20,Southeast,Phone,2024,9004.97,1619.49,50
21,Southeast,GPU,2021,5020.61,834.2,87
22,North,GPU,2022,12148.37,2950.96,59
23,West,Mouse,2021,6121.83,970.71,174
24,South,RAM,2021,2251.84,550.99,41
25,Central,SSD,2024,12840.81,3118.92,45
26,Central,Router,2022,5872.29,1145.97,51
27,West,Keyboard,2022,1144.45,198.0,106
28,North,Keyboard,2020,3201.26,490.25,134
29,South,SSD,2021,8323.44,1426.83,36
30,Northwest,Camera,2023,15717.92,2510.04,75
31,Northeast,Switch,2023,5110.4,794.24,32
32,North,Router,2022,9616.3,1681.56,44
33,Southeast,Modem,2021,3810.09,747.78,29
34,Northwest,RAM,2020,1407.84,287.28,21
35,South,Camera,2021,19153.95,3282.5,71
36,North,Phone,2023,6576.1,1160.82,60
37,Northwest,Scanner,2023,7290.73,1819.35,91
38,Northwest,Tablet,2021,15335.03,2389.94,57
39,Southeast,Mouse,2022,1196.48,236.52,185
40,East,Mouse,2024,1913.35,300.11,67
41,West,Router,2020,4951.32,1037.06,99
42,South,Switch,2024,5949.98,1448.65,46
43,Northeast,Camera,2022,15080.73,3235.57,78
44,Northeast,Keyboard,2020,4689.1,967.36,75
45,South,RAM,2021,5038.86,1226.09,28
46,West,Webcam,2022,2134.9,436.21,58
47,Southeast,Laptop,2024,19226.37,3083.11,18
48,Central,Monitor,2020,29553.11,5265.64,23
49,Northeast,Headphones,2022,4865.32,1170.27,63
50,South,Switch,2022,1226.35,278.52,53
51,East,Modem,2024,6971.92,1052.53,29
52,East,RAM,2020,7921.36,1625.88,75
53,East,Mouse,2022,4663.57,1070.81,60
54,Northeast,Headphones,2021,5369.71,1224.36,154
55,East,Camera,2021,12576.95,1917.72,62
56,Southwest,Camera,2022,10585.95,1702.32,24
57,Northwest,Camera,2021,18173.06,4217.12,49
58,West,Laptop,2021,18918.37,4472.97,59
59,Central,Webcam,2024,5282.25,1237.98,62
60,North,Monitor,2022,16844.45,4183.4,12
61,South,GPU,2023,9690.12,1757.48,97
62,Southeast,Monitor,2023,23047.94,3559.49,37
63,North,SSD,2024,17729.11,3974.78,45
64,Northeast,Switch,2020,6932.01,1471.77,35
65,Central,SSD,2022,16456.06,3130.6,57
66,Southeast,Tablet,2021,21765.65,4090.08,57
67,East,GPU,2024,8103.05,1891.03,58
68,Central,Headphones,2023,9042.15,1948.32,169
69,Northwest,Modem,2021,4885.93,1173.2,41
70,South,Scanner,2024,7016.66,1287.69,50
71,Central,Camera,2021,10858.81,1894.69,80
72,South,Modem,2023,6606.77,1465.61,69
73,Northwest,Router,2021,2200.97,331.37,33
74,Southwest,Camera,2021,20639.73,4246.43,35
75,Northwest,Tablet,2023,28660.27,5900.94,30
76,Northwest,GPU,2024,10482.26,2146.63,40
77,Northwest,Modem,2022,6257.32,1337.6,86
78,Northwest,Camera,2022,15981.66,2853.89,54
79,Northeast,Speaker,2024,1396.91,241.84,39
